Star|n_Star|RAJ2000|DEJ2000|XSLID|MJD|ArmMissing|spU|spV|spN|FileUVB|FileVIS|FileNIR|Comments|SimbadName
HD 171496                | |18 36 07.490|-24 26 11.3|X0716|56455.3218|       |spU|spV|spN|fits/xsl_spectrum_X0716_uvb.fits        |fits/xsl_spectrum_X0716_vis.fits        |fits/xsl_spectrum_X0716_nir.fits        |                                                                                                                                                                                                        |HD 171496
HD 171496                | |18 36 07.490|-24 26 11.3|X0717|56455.3243|       |spU|spV|spN|fits/xsl_spectrum_X0717_uvb.fits        |fits/xsl_spectrum_X0717_vis.fits        |fits/xsl_spectrum_X0717_nir.fits        |                                                                                                                                                                                                        |HD 171496
HD 172230                | |18 38 54.950|+06 16 14.8|X0161|55395.1852|       |spU|spV|spN|fits/xsl_spectrum_X0161_uvb.fits        |fits/xsl_spectrum_X0161_vis.fits        |fits/xsl_spectrum_X0161_nir.fits        |                                                                                                                                                                                                        |HD 172230
HD 172365                | |18 39 36.880|+05 15 51.4|X0680|56410.3506|       |spU|spV|spN|fits/xsl_spectrum_X0680_uvb.fits        |fits/xsl_spectrum_X0680_vis.fits        |fits/xsl_spectrum_X0680_nir.fits        |                                                                                                                                                                                                        |HD 172365
HD 172472                | |18 40 04.280|+07 45 46.4|X0471|56164.0532|       |spU|spV|spN|fits/xsl_spectrum_X0471_uvb.fits        |fits/xsl_spectrum_X0471_vis.fits        |fits/xsl_spectrum_X0471_nir.fits        |                                                                                                                                                                                                        |HD 172472
HD 172522                | |18 40 22.610|+08 52 06.4|X0655|56405.3897|       |spU|spV|spN|fits/xsl_spectrum_X0655_uvb.fits        |fits/xsl_spectrum_X0655_vis.fits        |fits/xsl_spectrum_X0655_nir.fits        |                                                                                                                                                                                                        |HD 172522
HD 172506                | |18 40 31.300|+02 41 04.0|X0654|56405.3845|       |spU|spV|spN|fits/xsl_spectrum_X0654_uvb.fits        |fits/xsl_spectrum_X0654_vis.fits        |fits/xsl_spectrum_X0654_nir.fits        |                                                                                                                                                                                                        |HD 172506
HD 172488                | |18 40 48.050|-08 43 07.6|X0653|56405.3790|UVB    |spU|spV|spN|                                        |fits/xsl_spectrum_X0653_vis.fits        |fits/xsl_spectrum_X0653_nir.fits        |Possibly He-rich                                                                                                                                                                                        |HD 172488
HD 173073                | |18 43 26.430|+03 47 08.5|X0657|56405.4007|       |spU|spV|spN|fits/xsl_spectrum_X0657_uvb.fits        |fits/xsl_spectrum_X0657_vis.fits        |fits/xsl_spectrum_X0657_nir.fits        |                                                                                                                                                                                                        |HD 173073
HD 173158                | |18 43 45.300|+05 44 14.6|X0162|55395.1915|       |spU|spV|spN|fits/xsl_spectrum_X0162_uvb.fits        |fits/xsl_spectrum_X0162_vis.fits        |fits/xsl_spectrum_X0162_nir.fits        |                                                                                                                                                                                                        |HD 173158
HD 173369                | |18 44 37.380|+07 58 39.4|X0472|56164.0585|       |spU|spV|spN|fits/xsl_spectrum_X0472_uvb.fits        |fits/xsl_spectrum_X0472_vis.fits        |fits/xsl_spectrum_X0472_nir.fits        |                                                                                                                                                                                                        |HD 173369
V874 Aql                 | |18 45 41.080|+09 38 38.6|X0478|56164.0928|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0478_uvb_nlc.fits|fits/xsl_spectrum_X0478_vis.fits        |fits/xsl_spectrum_X0478_nir.fits        |O-rich LPV (not C-star as was stated in Nassau & Blanco 1957ApJ...125..195N)                                                                                                                            |V874 Aql
V874 Aql                 | |18 45 41.080|+09 38 38.6|X0675|56410.3126|       |spU|spV|spN|fits/xsl_spectrum_X0675_uvb.fits        |fits/xsl_spectrum_X0675_vis.fits        |fits/xsl_spectrum_X0675_nir.fits        |O-rich LPV (not C-star as was stated in Nassau & Blanco 1957ApJ...125..195N)                                                                                                                            |V874 Aql
HD 173669                | |18 46 19.640|+05 09 11.2|X0656|56405.3953|       |spU|spV|spN|fits/xsl_spectrum_X0656_uvb.fits        |fits/xsl_spectrum_X0656_vis.fits        |fits/xsl_spectrum_X0656_nir.fits        |                                                                                                                                                                                                        |HD 173669
G021-024                 | |18 47 27.250|-03 38 23.4|X0663|56407.3450|       |spU|spV|spN|fits/xsl_spectrum_X0663_uvb.fits        |fits/xsl_spectrum_X0663_vis.fits        |fits/xsl_spectrum_X0663_nir.fits        |                                                                                                                                                                                                        |G021-024
V CrA                    | |18 47 32.310|-38 09 32.4|X0429|56144.1740|UVB    |spU|spV|spN|                                        |fits_nlc/xsl_spectrum_X0429_vis_nlc.fits|fits/xsl_spectrum_X0429_nir.fits        |                                                                                                                                                                                                        |V CrA
BH Tel                   | |18 49 31.710|-49 54 29.4|X0672|56407.3919|       |spU|spV|spN|fits/xsl_spectrum_X0672_uvb.fits        |fits/xsl_spectrum_X0672_vis.fits        |fits/xsl_spectrum_X0672_nir.fits        |                                                                                                                                                                                                        |BH Tel
HD 174240                | |18 49 37.190|+00 50 10.3|X0163|55395.1990|       |spU|spV|spN|fits/xsl_spectrum_X0163_uvb.fits        |fits/xsl_spectrum_X0163_vis.fits        |fits/xsl_spectrum_X0163_nir.fits        |                                                                                                                                                                                                        |HD 174240
HD 174350                | |18 49 50.430|+06 51 49.1|X0658|56405.4062|       |spU|spV|spN|fits/xsl_spectrum_X0658_uvb.fits        |fits/xsl_spectrum_X0658_vis.fits        |fits/xsl_spectrum_X0658_nir.fits        |                                                                                                                                                                                                        |HD 174350
HD 174512                | |18 51 07.980|-06 16 45.0|X0662|56407.3324|       |spU|spV|spN|fits/xsl_spectrum_X0662_uvb.fits        |fits/xsl_spectrum_X0662_vis.fits        |fits/xsl_spectrum_X0662_nir.fits        |                                                                                                                                                                                                        |HD 174512
HD 174866                | |18 53 01.810|-09 34 31.8|X0645|56395.4017|       |spU|spV|spN|fits/xsl_spectrum_X0645_uvb.fits        |fits/xsl_spectrum_X0645_vis.fits        |fits/xsl_spectrum_X0645_nir.fits        |                                                                                                                                                                                                        |HD 174866
HD 174966                | |18 53 07.830|+01 45 19.6|X0164|55395.2057|       |spU|spV|spN|fits/xsl_spectrum_X0164_uvb.fits        |fits/xsl_spectrum_X0164_vis.fits        |fits/xsl_spectrum_X0164_nir.fits        |                                                                                                                                                                                                        |HD 174966
HD 174966                | |18 53 07.830|+01 45 19.6|X0220|55410.2257|       |spU|spV|spN|fits/xsl_spectrum_X0220_uvb.fits        |fits/xsl_spectrum_X0220_vis.fits        |fits/xsl_spectrum_X0220_nir.fits        |                                                                                                                                                                                                        |HD 174966
HD 174966                | |18 53 07.830|+01 45 19.6|X0283|55458.1612|       |spU|spV|spN|fits/xsl_spectrum_X0283_uvb.fits        |fits/xsl_spectrum_X0283_vis.fits        |fits/xsl_spectrum_X0283_nir.fits        |                                                                                                                                                                                                        |HD 174966
HD 175058                | |18 53 55.950|-09 22 13.1|X0646|56398.3866|       |spU|spV|spN|fits/xsl_spectrum_X0646_uvb.fits        |fits/xsl_spectrum_X0646_vis.fits        |fits/xsl_spectrum_X0646_nir.fits        |                                                                                                                                                                                                        |HD 175058
HD 175181                | |18 54 27.950|-05 57 27.4|X0664|56407.3501|       |spU|spV|spN|fits/xsl_spectrum_X0664_uvb.fits        |fits/xsl_spectrum_X0664_vis.fits        |fits/xsl_spectrum_X0664_nir.fits        |                                                                                                                                                                                                        |HD 175181
HD 175376                | |18 55 21.660|-05 08 27.5|X0667|56407.3661|       |spU|spV|spN|fits/xsl_spectrum_X0667_uvb.fits        |fits/xsl_spectrum_X0667_vis.fits        |fits/xsl_spectrum_X0667_nir.fits        |                                                                                                                                                                                                        |HD 175376
HD 175545                | |18 55 51.450|-00 44 22.1|X0165|55395.2160|       |spU|spV|spN|fits/xsl_spectrum_X0165_uvb.fits        |fits/xsl_spectrum_X0165_vis.fits        |fits/xsl_spectrum_X0165_nir.fits        |                                                                                                                                                                                                        |HD 175545
HD 175640                | |18 56 22.660|-01 47 59.5|X0221|55410.2311|       |spU|spV|spN|fits/xsl_spectrum_X0221_uvb.fits        |fits/xsl_spectrum_X0221_vis.fits        |fits/xsl_spectrum_X0221_nir.fits        |K-band continuum wavy                                                                                                                                                                                   |HD 175640
HD 175640                | |18 56 22.660|-01 47 59.5|X0294|55465.1115|       |spU|spV|spN|fits/xsl_spectrum_X0294_uvb.fits        |fits/xsl_spectrum_X0294_vis.fits        |fits/xsl_spectrum_X0294_nir.fits        |                                                                                                                                                                                                        |HD 175640
HD 175805                | |18 56 58.070|+02 27 42.0|X0222|55410.2405|       |spU|spV|spN|fits/xsl_spectrum_X0222_uvb.fits        |fits/xsl_spectrum_X0222_vis.fits        |fits/xsl_spectrum_X0222_nir.fits        |                                                                                                                                                                                                        |HD 175805
HD 175805                | |18 56 58.070|+02 27 42.0|X0295|55465.1280|       |spU|spV|spN|fits/xsl_spectrum_X0295_uvb.fits        |fits/xsl_spectrum_X0295_vis.fits        |fits/xsl_spectrum_X0295_nir.fits        |                                                                                                                                                                                                        |HD 175805
HD 175892                | |18 58 24.830|-22 31 46.1|X0666|56407.3607|       |spU|spV|spN|fits/xsl_spectrum_X0666_uvb.fits        |fits/xsl_spectrum_X0666_vis.fits        |fits/xsl_spectrum_X0666_nir.fits        |                                                                                                                                                                                                        |HD 175892
HD 176301                | |18 58 45.060|+19 47 39.8|X0676|56410.3179|       |spU|spV|spN|fits/xsl_spectrum_X0676_uvb.fits        |fits/xsl_spectrum_X0676_vis.fits        |fits/xsl_spectrum_X0676_nir.fits        |                                                                                                                                                                                                        |HD 176301
HD 176698                | |19 01 26.930|+01 17 18.8|X0473|56164.0640|       |spU|spV|spN|fits/xsl_spectrum_X0473_uvb.fits        |fits/xsl_spectrum_X0473_vis.fits        |fits/xsl_spectrum_X0473_nir.fits        |                                                                                                                                                                                                        |HD 176698
HD 176851                | |19 02 24.170|-05 32 48.1|X0451|56153.1621|       |spU|spV|spN|fits/xsl_spectrum_X0451_uvb.fits        |fits/xsl_spectrum_X0451_vis.fits        |fits/xsl_spectrum_X0451_nir.fits        |                                                                                                                                                                                                        |HD 176851
HD 178287                | |19 08 20.770|-07 26 15.8|X0474|56164.0698|       |spU|spV|spN|fits/xsl_spectrum_X0474_uvb.fits        |fits/xsl_spectrum_X0474_vis.fits        |fits/xsl_spectrum_X0474_nir.fits        |                                                                                                                                                                                                        |HD 178287
HD 179315                | |19 11 59.170|+04 21 17.4|X0452|56153.1695|       |spU|spV|spN|fits/xsl_spectrum_X0452_uvb.fits        |fits/xsl_spectrum_X0452_vis.fits        |fits/xsl_spectrum_X0452_nir.fits        |                                                                                                                                                                                                        |HD 179315
HD 179870                | |19 13 53.590|+09 01 59.6|X0207|55409.1811|       |spU|spV|spN|fits/xsl_spectrum_X0207_uvb.fits        |fits/xsl_spectrum_X0207_vis.fits        |fits/xsl_spectrum_X0207_nir.fits        |                                                                                                                                                                                                        |HD 179870
HD 179870                | |19 13 53.590|+09 01 59.6|X0272|55457.0939|       |spU|spV|spN|fits/xsl_spectrum_X0272_uvb.fits        |fits/xsl_spectrum_X0272_vis.fits        |fits/xsl_spectrum_X0272_nir.fits        |                                                                                                                                                                                                        |HD 179870
HD 179821                | |19 13 58.610|+00 07 31.9|X0208|55409.1864|       |spU|spV|spN|fits/xsl_spectrum_X0208_uvb.fits        |fits/xsl_spectrum_X0208_vis.fits        |fits/xsl_spectrum_X0208_nir.fits        |K-band continuum wavy                                                                                                                                                                                   |HD 179821
HD 179821                | |19 13 58.610|+00 07 31.9|X0302|55466.1546|       |spU|spV|spN|fits/xsl_spectrum_X0302_uvb.fits        |fits/xsl_spectrum_X0302_vis.fits        |fits/xsl_spectrum_X0302_nir.fits        |                                                                                                                                                                                                        |HD 179821
HD 180086                | |19 15 22.290|-06 02 59.1|X0475|56164.0754|       |spU|spV|spN|fits/xsl_spectrum_X0475_uvb.fits        |fits/xsl_spectrum_X0475_vis.fits        |fits/xsl_spectrum_X0475_nir.fits        |                                                                                                                                                                                                        |HD 180086
GJ 752B                  | |19 16 57.610|+05 09 01.5|X0209|55409.1997|UVB    |spU|spV|spN|                                        |fits/xsl_spectrum_X0209_vis.fits        |fits/xsl_spectrum_X0209_nir.fits        |                                                                                                                                                                                                        |GJ 752B
HD 183085                | |19 27 41.090|+04 42 34.9|X0476|56164.0809|       |spU|spV|spN|fits/xsl_spectrum_X0476_uvb.fits        |fits/xsl_spectrum_X0476_vis.fits        |fits/xsl_spectrum_X0476_nir.fits        |                                                                                                                                                                                                        |HD 183085
CD-24 15398              | |19 32 20.780|-23 51 12.7|X0421|56143.2933|       |spU|spV|spN|fits/xsl_spectrum_X0421_uvb.fits        |fits/xsl_spectrum_X0421_vis.fits        |fits/xsl_spectrum_X0421_nir.fits        |                                                                                                                                                                                                        |CD-24 15398
HD 184266                | |19 34 15.390|-16 19 00.2|X0477|56164.0866|       |spU|spV|spN|fits/xsl_spectrum_X0477_uvb.fits        |fits/xsl_spectrum_X0477_vis.fits        |fits/xsl_spectrum_X0477_nir.fits        |                                                                                                                                                                                                        |HD 184266
HD 184571                | |19 35 01.810|+04 18 40.8|X0679|56410.3451|       |spU|spV|spN|fits/xsl_spectrum_X0679_uvb.fits        |fits/xsl_spectrum_X0679_vis.fits        |fits/xsl_spectrum_X0679_nir.fits        |                                                                                                                                                                                                        |HD 184571
HD 185094                | |19 37 43.720|-05 03 42.4|X0668|56407.3710|       |spU|spV|spN|fits/xsl_spectrum_X0668_uvb.fits        |fits/xsl_spectrum_X0668_vis.fits        |fits/xsl_spectrum_X0668_nir.fits        |                                                                                                                                                                                                        |HD 185094
HD 232078                | |19 38 12.070|+16 48 25.6|X0210|55409.2070|       |spU|spV|spN|fits/xsl_spectrum_X0210_uvb.fits        |fits/xsl_spectrum_X0210_vis.fits        |fits/xsl_spectrum_X0210_nir.fits        |                                                                                                                                                                                                        |HD 232078
HD 232078                | |19 38 12.070|+16 48 25.6|X0273|55457.0996|       |spU|spV|spN|fits/xsl_spectrum_X0273_uvb.fits        |fits/xsl_spectrum_X0273_vis.fits        |fits/xsl_spectrum_X0273_nir.fits        |                                                                                                                                                                                                        |HD 232078
HIP 96710                | |19 39 36.170|-26 45 07.0|X0665|56407.3556|       |spU|spV|spN|fits/xsl_spectrum_X0665_uvb.fits        |fits/xsl_spectrum_X0665_vis.fits        |fits/xsl_spectrum_X0665_nir.fits        |                                                                                                                                                                                                        |HIP 96710
HD 186478                | |19 45 14.140|-17 29 27.0|X0670|56407.3812|       |spU|spV|spN|fits/xsl_spectrum_X0670_uvb.fits        |fits/xsl_spectrum_X0670_vis.fits        |fits/xsl_spectrum_X0670_nir.fits        |                                                                                                                                                                                                        |HD 186478
HD 187111                | |19 48 39.570|-12 07 19.7|X0669|56407.3762|       |spU|spV|spN|fits/xsl_spectrum_X0669_uvb.fits        |fits/xsl_spectrum_X0669_vis.fits        |fits/xsl_spectrum_X0669_nir.fits        |                                                                                                                                                                                                        |HD 187111
Y Sge                    | |19 53 30.870|+18 14 28.8|X0761|56507.1835|       |spU|spV|spN|fits/xsl_spectrum_X0761_uvb.fits        |fits/xsl_spectrum_X0761_vis.fits        |fits/xsl_spectrum_X0761_nir.fits        |                                                                                                                                                                                                        |Y Sge
NGC 6838 1078            | |19 53 37.180|+18 47 20.2|X0494|56165.1360|       |spU|spV|spN|fits/xsl_spectrum_X0494_uvb.fits        |fits/xsl_spectrum_X0494_vis.fits        |fits/xsl_spectrum_X0494_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1078
NGC 6838 1078            | |19 53 37.180|+18 47 20.2|X0748|56488.2784|       |spU|spV|spN|fits/xsl_spectrum_X0748_uvb.fits        |fits/xsl_spectrum_X0748_vis.fits        |fits/xsl_spectrum_X0748_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1078
CL* NGC 6838 AH A9       | |19 53 37.470|+18 44 59.6|X0407|56110.3440|       |spU|spV|spN|fits/xsl_spectrum_X0407_uvb.fits        |fits/xsl_spectrum_X0407_vis.fits        |fits/xsl_spectrum_X0407_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6838 AH A9
CL* NGC 6838 AH A9       | |19 53 37.470|+18 44 59.6|X0702|56440.3432|       |spU|spV|spN|fits/xsl_spectrum_X0702_uvb.fits        |fits/xsl_spectrum_X0702_vis.fits        |fits/xsl_spectrum_X0702_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6838 AH A9
NGC 6838 1077            | |19 53 37.570|+18 47 28.6|X0493|56165.1256|       |spU|spV|spN|fits/xsl_spectrum_X0493_uvb.fits        |fits/xsl_spectrum_X0493_vis.fits        |fits/xsl_spectrum_X0493_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1077
NGC 6838 1077            | |19 53 37.570|+18 47 28.6|X0746|56487.2826|       |spU|spV|spN|fits/xsl_spectrum_X0746_uvb.fits        |fits/xsl_spectrum_X0746_vis.fits        |fits/xsl_spectrum_X0746_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1077
NGC 6838 1075            | |19 53 41.570|+18 47 43.0|X0741|56467.3225|       |spU|spV|spN|fits/xsl_spectrum_X0741_uvb.fits        |fits/xsl_spectrum_X0741_vis.fits        |fits/xsl_spectrum_X0741_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1075
NGC 6838 1075            | |19 53 41.570|+18 47 43.0|X0742|56467.3445|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0742_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0742_vis_nlc.fits|fits_nlc/xsl_spectrum_X0742_nir_nlc.fits|                                                                                                                                                                                                        |NGC 6838 1075
NGC 6838 1073            | |19 53 42.540|+18 47 08.3|X0735|56464.2903|       |spU|spV|spN|fits/xsl_spectrum_X0735_uvb.fits        |fits/xsl_spectrum_X0735_vis.fits        |fits/xsl_spectrum_X0735_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1073
NGC 6838 1073            | |19 53 42.540|+18 47 08.3|X0762|56507.1884|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0762_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0762_vis_nlc.fits|fits_nlc/xsl_spectrum_X0762_nir_nlc.fits|                                                                                                                                                                                                        |NGC 6838 1073
NGC 6838 1071            | |19 53 43.730|+18 47 33.6|X0734|56464.2763|       |spU|spV|spN|fits/xsl_spectrum_X0734_uvb.fits        |fits/xsl_spectrum_X0734_vis.fits        |fits/xsl_spectrum_X0734_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1071
NGC 6838 1066            | |19 53 45.250|+18 46 55.4|X0718|56455.3400|       |spU|spV|spN|fits/xsl_spectrum_X0718_uvb.fits        |fits/xsl_spectrum_X0718_vis.fits        |fits/xsl_spectrum_X0718_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1066
NGC 6838 1066            | |19 53 45.250|+18 46 55.4|X0719|56455.3479|       |spU|spV|spN|fits/xsl_spectrum_X0719_uvb.fits        |fits/xsl_spectrum_X0719_vis.fits        |fits/xsl_spectrum_X0719_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1066
NGC 6838 1066            | |19 53 45.250|+18 46 55.4|X0720|56455.3560|       |spU|spV|spN|fits/xsl_spectrum_X0720_uvb.fits        |fits/xsl_spectrum_X0720_vis.fits        |fits/xsl_spectrum_X0720_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1066
HD 188262                | |19 53 45.930|+16 46 41.1|X0211|55409.2125|       |spU|spV|spN|fits/xsl_spectrum_X0211_uvb.fits        |fits/xsl_spectrum_X0211_vis.fits        |fits/xsl_spectrum_X0211_nir.fits        |                                                                                                                                                                                                        |HD 188262
HD 188262                | |19 53 45.930|+16 46 41.1|X0268|55445.9817|       |spU|spV|spN|fits/xsl_spectrum_X0268_uvb.fits        |fits/xsl_spectrum_X0268_vis.fits        |fits/xsl_spectrum_X0268_nir.fits        |                                                                                                                                                                                                        |HD 188262
NGC 6838 1063            | |19 53 46.570|+18 47 44.2|X0713|56455.2807|       |spU|spV|spN|fits/xsl_spectrum_X0713_uvb.fits        |fits/xsl_spectrum_X0713_vis.fits        |fits/xsl_spectrum_X0713_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1063
NGC 6838 1063            | |19 53 46.570|+18 47 44.2|X0714|56455.2935|       |spU|spV|spN|fits/xsl_spectrum_X0714_uvb.fits        |fits/xsl_spectrum_X0714_vis.fits        |fits/xsl_spectrum_X0714_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1063
NGC 6838 1037            | |19 53 48.020|+18 47 08.6|X0491|56165.0963|       |spU|spV|spN|fits/xsl_spectrum_X0491_uvb.fits        |fits/xsl_spectrum_X0491_vis.fits        |fits/xsl_spectrum_X0491_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1037
NGC 6838 1037            | |19 53 48.020|+18 47 08.6|X0704|56440.3733|NIR    |spU|spV|spN|fits/xsl_spectrum_X0704_uvb.fits        |fits/xsl_spectrum_X0704_vis.fits        |                                        |                                                                                                                                                                                                        |NGC 6838 1037
NGC 6838 1037            | |19 53 48.020|+18 47 08.6|X0705|56440.3997|       |spU|spV|spN|fits/xsl_spectrum_X0705_uvb.fits        |fits/xsl_spectrum_X0705_vis.fits        |fits/xsl_spectrum_X0705_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1037
NGC 6838 1039            | |19 53 48.740|+18 47 17.4|X0389|56093.4058|       |spU|spV|spN|fits/xsl_spectrum_X0389_uvb.fits        |fits/xsl_spectrum_X0389_vis.fits        |fits/xsl_spectrum_X0389_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1039
NGC 6838 1039            | |19 53 48.740|+18 47 17.4|X0706|56440.4167|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0706_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0706_vis_nlc.fits|fits_nlc/xsl_spectrum_X0706_nir_nlc.fits|                                                                                                                                                                                                        |NGC 6838 1039
NGC 6838 1009            | |19 53 49.052|+18 46 00.3|X0703|56440.3574|       |spU|spV|spN|fits/xsl_spectrum_X0703_uvb.fits        |fits/xsl_spectrum_X0703_vis.fits        |fits/xsl_spectrum_X0703_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1009
NGC 6838 1053            | |19 53 50.640|+18 49 07.5|X0712|56455.2581|       |spU|spV|spN|fits/xsl_spectrum_X0712_uvb.fits        |fits/xsl_spectrum_X0712_vis.fits        |fits/xsl_spectrum_X0712_nir.fits        |                                                                                                                                                                                                        |NGC 6838 1053
CL* NGC 6838 AH A2       | |19 53 54.190|+18 45 32.7|X0408|56110.3617|       |spU|spV|spN|fits/xsl_spectrum_X0408_uvb.fits        |fits/xsl_spectrum_X0408_vis.fits        |fits/xsl_spectrum_X0408_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6838 AH A2
CL* NGC 6838 AH A2       | |19 53 54.190|+18 45 32.7|X0681|56410.3781|       |spU|spV|spN|fits/xsl_spectrum_X0681_uvb.fits        |fits/xsl_spectrum_X0681_vis.fits        |fits/xsl_spectrum_X0681_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6838 AH A2
CL* NGC 6838 AH A2       | |19 53 54.190|+18 45 32.7|X0701|56440.3284|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0701_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0701_vis_nlc.fits|fits_nlc/xsl_spectrum_X0701_nir_nlc.fits|                                                                                                                                                                                                        |CL* NGC 6838 AH A2
HD 188510                | |19 55 09.680|+10 44 27.4|X0697|56412.4086|       |spU|spV|spN|fits/xsl_spectrum_X0697_uvb.fits        |fits/xsl_spectrum_X0697_vis.fits        |fits/xsl_spectrum_X0697_nir.fits        |                                                                                                                                                                                                        |HD 188510
HD 189511                | |20 00 22.050|+01 41 53.5|X0482|56164.1271|       |spU|spV|spN|fits/xsl_spectrum_X0482_uvb.fits        |fits/xsl_spectrum_X0482_vis.fits        |fits/xsl_spectrum_X0482_nir.fits        |                                                                                                                                                                                                        |HD 189511
HD 190073                | |20 03 02.510|+05 44 16.6|X0214|55409.2395|       |spU|spV|spN|fits/xsl_spectrum_X0214_uvb.fits        |fits/xsl_spectrum_X0214_vis.fits        |fits/xsl_spectrum_X0214_nir.fits        |Herbig Ae/Be star; numerous emission lines; continuum contribution from cool component in the NIR arm. K-band continuum wavy (prefer X0248).                                                            |HD 190073
HD 190073                | |20 03 02.510|+05 44 16.6|X0248|55438.1223|       |spU|spV|spN|fits/xsl_spectrum_X0248_uvb.fits        |fits/xsl_spectrum_X0248_vis.fits        |fits/xsl_spectrum_X0248_nir.fits        |Herbig Ae/Be star; numerous emission lines; continuum contribution from cool component in the NIR arm                                                                                                   |HD 190073
HD 190404                | |20 03 52.130|+23 20 26.4|X0212|55409.2230|       |spU|spV|spN|fits/xsl_spectrum_X0212_uvb.fits        |fits/xsl_spectrum_X0212_vis.fits        |fits/xsl_spectrum_X0212_nir.fits        |                                                                                                                                                                                                        |HD 190404
HD 190404                | |20 03 52.130|+23 20 26.4|X0249|55438.1327|       |spU|spV|spN|fits/xsl_spectrum_X0249_uvb.fits        |fits/xsl_spectrum_X0249_vis.fits        |fits/xsl_spectrum_X0249_nir.fits        |                                                                                                                                                                                                        |HD 190404
HD 190404                | |20 03 52.130|+23 20 26.4|X0490|56165.0841|       |spU|spV|spN|fits/xsl_spectrum_X0490_uvb.fits        |fits/xsl_spectrum_X0490_vis.fits        |fits/xsl_spectrum_X0490_nir.fits        |                                                                                                                                                                                                        |HD 190404
HD 190390                | |20 05 05.410|-11 35 57.9|X0432|56144.2644|       |spU|spV|spN|fits/xsl_spectrum_X0432_uvb.fits        |fits/xsl_spectrum_X0432_vis.fits        |fits/xsl_spectrum_X0432_nir.fits        |                                                                                                                                                                                                        |HD 190390
G024-003                 | |20 05 44.320|+04 02 52.8|X0480|56164.1103|       |spU|spV|spN|fits/xsl_spectrum_X0480_uvb.fits        |fits/xsl_spectrum_X0480_vis.fits        |fits/xsl_spectrum_X0480_nir.fits        |                                                                                                                                                                                                        |G024-003
HD 345957                | |20 10 48.160|+23 57 54.5|X0213|55409.2283|       |spU|spV|spN|fits/xsl_spectrum_X0213_uvb.fits        |fits/xsl_spectrum_X0213_vis.fits        |fits/xsl_spectrum_X0213_nir.fits        |                                                                                                                                                                                                        |HD 345957
HD 191709                | |20 11 18.860|-00 07 35.2|X0671|56407.3863|       |spU|spV|spN|fits/xsl_spectrum_X0671_uvb.fits        |fits/xsl_spectrum_X0671_vis.fits        |fits/xsl_spectrum_X0671_nir.fits        |                                                                                                                                                                                                        |HD 191709
HIP 100047               | |20 17 52.380|-17 17 09.0|X0736|56465.3324|       |spU|spV|spN|fits/xsl_spectrum_X0736_uvb.fits        |fits/xsl_spectrum_X0736_vis.fits        |fits/xsl_spectrum_X0736_nir.fits        |                                                                                                                                                                                                        |HIP 100047
HIP 100047               | |20 17 52.380|-17 17 09.0|X0763|56507.2088|       |spU|spV|spN|fits/xsl_spectrum_X0763_uvb.fits        |fits/xsl_spectrum_X0763_vis.fits        |fits/xsl_spectrum_X0763_nir.fits        |                                                                                                                                                                                                        |HIP 100047
HD 193225                | |20 19 00.700|+02 14 00.2|X0483|56164.1323|       |spU|spV|spN|fits/xsl_spectrum_X0483_uvb.fits        |fits/xsl_spectrum_X0483_vis.fits        |fits/xsl_spectrum_X0483_nir.fits        |                                                                                                                                                                                                        |HD 193225
HD 193326                | |20 19 39.580|+01 59 36.3|X0484|56164.1376|       |spU|spV|spN|fits/xsl_spectrum_X0484_uvb.fits        |fits/xsl_spectrum_X0484_vis.fits        |fits/xsl_spectrum_X0484_nir.fits        |                                                                                                                                                                                                        |HD 193326
